Tweet,Suicide
my cullen family jewellery set arrived this morning so happy,Not Suicide post
getting ready to take kids to the farm,Not Suicide post
these boys might find it shocking that some internet stranger like myself would say fuck these guys,Potential Suicide post
i ate candy cigarettes but i did not eat the wax once i drank the coke i did however eat the candy lips,Not Suicide post
i damn near hate smoking by myself but sometimes i like it cause i cannot finish blunts and i be having some for later,Potential Suicide post
is going to get some cereallllllll will be living off lucky charms next week woopwoop,Not Suicide post
tagged as punk punk rock pop punk new york more people should listen to this band,Not Suicide post
it is a great time in life we can help you design an amazing wedding,Not Suicide post
wow wow good to hear,Not Suicide post
feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i do not want to die but when i get hurt lonely or overwhelmed the one thought i cant shake is killing myself,Potential Suicide post
asking everyone to send out happy head first vibes to,Not Suicide post
and waiting for sunrise in spring with an amazing colors,Not Suicide post
good so far thanks hope yours will treat you well too,Not Suicide post
ok then might not be for a while though,Not Suicide post
it is only the 12th and i have completed 75 of my selling goal i am happy,Not Suicide post
but still i highkey want him to be dead he f killed peach and beck ugh candice is back so imma just,Potential Suicide post
take care guys,Not Suicide post
my whole family is so damn beautiful and i am the start of the ugly generation of it and i just hate myself so much i cannot even express it,Potential Suicide post
my co workers are my guinea pigs lucky for them i am testing recipes from my ultimate cookie cook book,Not Suicide post
damn i hate myself,Potential Suicide post
no i want him to get indicted and watch the kids go to jail i do not want him to die because the trump,Potential Suicide post
ok legit question can i fucking kill myself i am 100 done with life,Potential Suicide post
how s the ski jumping going have you beat the missus yet,Not Suicide post
i hope i fucken change cause damn do i hate myself,Potential Suicide post
really good and helpful about the various crisis in the dc universe i have read them all,Not Suicide post
nothing to live for why because you have been nasty,Potential Suicide post
had a lovely night with the best boyfriend and two very good friends,Not Suicide post
my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up i have been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i do not care about leaving everything behind because i do not want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally,Potential Suicide post
you do not have to bring anything it is yr place,Not Suicide post
rosie does he think i am gonna be single forever,Potential Suicide post
chick fil a bonus,Not Suicide post
yeah 16kg is around 40lbs glad you liked the interview i did with steve cotter quigong is sucha valuable part of any training,Not Suicide post
what do you want to know about modx cms maybe i can help you,Not Suicide post
i am home from school yay wasn t that bad actually and i had a nice dinner with graceeeeee,Not Suicide post
i am hoping my stress level will go down when my aunt is gone i cant relax am exhausted and cannot focus on a dam,Potential Suicide post
a friend i knew online from last night finally added me up on his messenger,Not Suicide post
i jst sneezed twice me thinks there s at least one ghost in my house now,Not Suicide post
thanks wani,Not Suicide post
haha get all your stress out x,Not Suicide post
just added a little more grist to the mill,Not Suicide post
you want every vote counted no matter if the voter is dead move to a different precinct ou,Potential Suicide post
our barefoot range is a great alternative when you need to wear shoes they allow you foot move as though it were barefoot,Not Suicide post
there are no perks of being this ugly i deserve an award or something at least if i am gonna die alone,Potential Suicide post
rt random commenter asked why i had such an extreme social warrior agenda in magnus chase what he calls extreme social jus,Potential Suicide post
it is tuesday at work still riding the high from the workout last night it should be a good day,Not Suicide post
so sad that i cannot protect these cats and i do not know whats ever bothering them i do not know why this stuff has,Potential Suicide post
never been to war but i get terrible nightmares that wake me up fighting for my life,Potential Suicide post
cool,Not Suicide post
ok that dinner rocked,Not Suicide post
stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,Potential Suicide post
damn i hate when i type so fast and the autocorrect changes go unnoticed smh at myself,Potential Suicide post
rt she is doing her best,Not Suicide post
live your best life,Not Suicide post
all i want is the truth,Not Suicide post
we are not fussy about age here as long as females are between 18 25 i changed the rules lol,Not Suicide post
i am just gonna go ahead and kill myself already done for the fucking day,Potential Suicide post
i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in short i can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha,Potential Suicide post
tania i think you should get athene and the rest of the crew on twitter,Not Suicide post
n i got yr pic posing in the server room,Not Suicide post
bye bye going to sleep finally xdddd d p,Not Suicide post
working on a film have been busy have a nice day everyone,Not Suicide post
i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,Potential Suicide post
i want to play with it,Not Suicide post
thanks to everyone who s sent me work this year you will pleased to know i have just planted 85 trees in india with some of the profits x,Not Suicide post
this is my notice of me giving up on life n becoming an alcoholic bc i am miserable n want to die farewell i will be drunk,Potential Suicide post
new iphone is completely updated sun shining in derry tis a pretty day,Not Suicide post
i want to be a doctor,Not Suicide post
cash in the attic is ok i prefer homes under the hammer haha i do love being off school,Not Suicide post
i will ride for my dawgs any day but at the end of the day i already know where the streets can take you and i what hap,Potential Suicide post
i want her,Not Suicide post
well compared to other areas west of us i will take our 50 degrees and run with it,Not Suicide post
aw i am so jealous please take me with you,Not Suicide post
blaine mn i do not want to be here anymore,Potential Suicide post
scared of death tired of living,Potential Suicide post
take it all back was so fun,Not Suicide post
i have had enough of life and the pain it causes,Potential Suicide post
omg the cringe i cant,Potential Suicide post
i love your shh tattoo did it hurt i think i am gonna get it,Not Suicide post
rt i literally cant explain everything so much has happened i do not wanna be here anymore wtf is even the point i literally,Potential Suicide post
i want him,Not Suicide post
had a juice box this morning you never know the joy a juice box can bring until you have one later on in life,Not Suicide post
she did not want him to go out with other women,Not Suicide post
you re welcome it was a great way to be introduced to your music,Not Suicide post
awesome cannot wait to see it,Not Suicide post
my heart is so crushed,Potential Suicide post
ooo apple store is down so close credit card ready,Not Suicide post
you have changed for the fucking worse i cant believe that you could really go back on all ur hard work like that,Potential Suicide post
not just because the house has never had a black woman in leadership but because,Not Suicide post
hey golden is here with me and just wanted to say hi and have a great morning,Not Suicide post
goooooood morning twitter world,Not Suicide post
a revolution in household detergent introducing get one now while stocks last,Not Suicide post
everything that you have ever dreamed of,Potential Suicide post
congrats i will def go and support the tc media takeover,Not Suicide post
going to bed goodnightttttt,Not Suicide post
going to school and enjoying my last day as a 16 year old but too,Not Suicide post
hmmm not good carrot juice and marmalade on toast may help,Not Suicide post
i am tired and sick of everything i wanna die,Potential Suicide post
rt no one has had more of an impact on my career and everything we do at marvel studios than stan lee stan leaves an extr,Not Suicide post
9 months ago my grandmother passed away 8 months ago i got my heart completely broken 7 months ago i almost attem,Potential Suicide post
really tired of everything it is all just so lame and gay nothing serious us ever going to happen an,Potential Suicide post
trying to figure out how this works,Not Suicide post
my life is miserable,Potential Suicide post
positive mental attitude today cannot be as bad as yesterday,Not Suicide post
good morning all,Not Suicide post
yay just found out amy is having a girl lil bonita i am so excited now i can go by little girly things for the babes,Not Suicide post
i am constantly amazed by our technology it makes me wonder now check out this rad song tripping,Not Suicide post
damn i fucking hate myself,Potential Suicide post
snuggling in bed with my little baby ahhhh,Not Suicide post
mhm up ohh early for me and i feel like whatching open arms again by gary go,Not Suicide post
isn t the best twitter client for me it is the simplicity and all in 1 that makes me love it,Not Suicide post
ahhhh yeah i was but their updates were boring me so unfollowed them you will have to win and take me on holiday,Not Suicide post
could be mine grew out down my back and then all fell off,Not Suicide post
rt what a fun day,Not Suicide post
vou ler atd foi uma maratona let s just say i am glad it is over lol,Not Suicide post
laughter is indeed the best medicine whatever ur situation today find a reason 2 smile wholeheartedly god is good faithfulandloves u 3,Not Suicide post
they want people like me dead they do not want to help me if i was in canada israel or germany i wo,Potential Suicide post
enjoyed the n dubz gig last night and it finished early which is always a bonus,Not Suicide post
i think its tonight because i do not care and i have nothing left i do not care i had something so great so promising and they stripped it down past the bone into splinters then pissed on the splinters i do not want happiness i do not want dreams i do not care that if i post a note everyone will desperately try to stop me i know they ll care when i am about to die or dead i am numb i am no longer scared and the hurt is too much i gotta go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end,Potential Suicide post
rt never get too attach cause people wake up with different feelings everyday,Potential Suicide post
do you ever feel empty and you had to pick a number from 15 depending how you feel about it i could write my funeral speech now but what is the point in afew years i would be forgotten anyway,Potential Suicide post
they do not do them in my size how r u,Not Suicide post
it snowed okay there s not enough to build frosty but it snowed as long as it is cold it might as well snow enjoy your day,Not Suicide post
yall i am sad cause i keep seeing tweets about invisible and the fact that it was a suicide note and like i already,Potential Suicide post
rt i hate feeling the way i do,Potential Suicide post
glad to see spring making a comeback in denver today,Not Suicide post
hello g mrng wuzup hows twitterville while i was sleeping evrythings cool,Not Suicide post
nah i think going sideways is best really helps when dodging bullets,Not Suicide post
i am so done with today like i just want to fucking kill myself,Potential Suicide post
if you have any questions feel free to email us at sales co uk or send a dm on twitter,Not Suicide post
it is been nearly three years but i still feel that kylo ben solo does not deserve redemption the man killed his ow,Potential Suicide post
all right so that is 200 for slytherin 590 for hufflepuff and 520 for ravenclaw sadly i will have to cut these sprin,Potential Suicide post
ba t ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako damn hate myself it is just me,Potential Suicide post
hey there sent you a dm,Not Suicide post
you make the milk look really good in your pictures,Not Suicide post
totally love this pic are you singing it in finnish,Not Suicide post
,Not Suicide post
ooh that is lovely,Not Suicide post
you will fully bloom after all the hardships i love u,Not Suicide post
aw i am so sorry try not to let it get to you too much they obviously did not deserve you in the first p,Potential Suicide post
showcase quick vip romm on thursday,Not Suicide post
is that me tony price is on here too as is fab,Not Suicide post
hey mariedees welcome to our twitter feed g mornin to ya,Not Suicide post
wow that was an experience you do not need to see repeated again glad he is ok,Not Suicide post
embedding a google calendar into a site is actually seriously easy,Not Suicide post
i die a little inside when i see an old person eating alone at a restaurant,Potential Suicide post
i hate repeating myself dawg like damn,Potential Suicide post
running out of option it physically hurts to breathe i have no dream or goal or ambition or motivation i am tried of it all i have been to hospital er psyche ward therapist difference medications my girlfriend the only person i really loved who wasnt family wants to just go do drugs and drink or whatever the fuck leaving me here with nothing so i cant at least just talk to her any more about how i feel it hurts it hurts so much so much pain and why i do not know why was i born to suffer like this if god is real he wants me dead and i do too,Potential Suicide post
1300 words,Not Suicide post
barcelona spain rt even though we do not want too we know that we have too believe that you re not here anymore and we know that we have to be st,Potential Suicide post
that is so cool good to hear thanks for sharing,Not Suicide post
debuted on this week s billboard social 50 at,Not Suicide post
let me hate myself god fucking damn it,Potential Suicide post
it is going to be sunny and 11 celcius friday and sunny and 15 saturday sweet,Not Suicide post
i second to that ian thank you,Not Suicide post
in reality social media do not care about a mans mental health or do not want to speak on it until he s dead lets be real,Potential Suicide post
not everything is gold,Not Suicide post
became as hot as the persistent days resting heavily on tired flowers,Potential Suicide post
we used to have one but keeping a live wild animal in a cage surrounded by screaming drunk,Potential Suicide post
i am so tired of everything can i die,Potential Suicide post
still listening to some great music i got yesterday amber pacific is awesome,Not Suicide post
going to day care get to see hannah this should be a good day i hope so anyway,Not Suicide post
i almost feel bad for my next post almost,Not Suicide post
thanks it is certainly better than it was midday yesterday at one point i was walking around like kryten from red dwarf,Not Suicide post
welcome to the twittersphere i like your name for it it is fun but can get super addicting,Not Suicide post
how did you know i love it,Not Suicide post
every day just brings me closer to death i am 21 years old working student i want to kill myself life is unbearable i have no skills not talents and i am absolutely boring person so i spend most of my free time alone i really want to find a girlfriend but i see no way how could i find one when i am useless like this i used to go away from sadness by listening to music but these days i am bored of music and just want to go to sleep and never wake up,Potential Suicide post
can i have yours clouds have come in i fear i may be too late to enjoy the weather,Not Suicide post
that is great to hear thanks chip,Not Suicide post
rt completely devestated by the fires affecting my community i am one of the lucky ones my animals and love of my life made,Not Suicide post
ah 90 s pop was so good,Not Suicide post
i am leaving the laptop at home i will put up with tweetie i can get dms on gmail new friends can always send me their email addy,Not Suicide post
thank god for slept in and he took ava to daycare,Not Suicide post
i do not know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i do not have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better,Potential Suicide post
amazing night and great day i love my heels,Not Suicide post
tired of living life with the fear of not being liked so for now on fuck it i am really livin now people,Potential Suicide post
jami probably drunk driver coming onto on coming traffic,Potential Suicide post
rt me knowing damn well that i will hate myself for taking a 7 30 but doing it anyways,Potential Suicide post
i am out of all my fucking meds bc my family thought it was the best to do since i got sick tired and sl,Potential Suicide post
rt never been to war but i get terrible nightmares that wake me up fighting for my life,Potential Suicide post
what s twitter oh this is twitter yea my poor little birdie no here comes the fail whale,Not Suicide post
i am gonna fucking die i am tired of investing everything into a person and then have them throw it out i am not made,Potential Suicide post
yo sometimes i am just tired of living,Potential Suicide post
rt congratulations to ol anthony vereen for being named gpac football first team offense 2018,Not Suicide post
aspiring to be as happy as in every aspect of life,Not Suicide post
rt i used to check the forbes 30 under 30 list every year to see if i could find a husband on it,Potential Suicide post
que screamo voice so cut my wrist and black my eyes,Potential Suicide post
so i need to work on this project and people count on me but i do fucking nothing because i think it is,Potential Suicide post
you hear this together we could start some sort of terrible business that pays nothing and sucks our wi,Potential Suicide post
rt if you find someone that makes you happy enjoy it life is not fair nor give many opportunities,Not Suicide post
debbs pw is up on mse congrats,Not Suicide post
my sister ruined the night before it even started i do not even want to be here anymore,Potential Suicide post
rt i quit i keep grinding but still fucking suck i no life something and i still fucking suck i am never gonna get into,Potential Suicide post
i cant take this anymore might as well end this sorry as life,Potential Suicide post
i wanna kill myself like not literally but mentally and emotionally,Potential Suicide post
co 19 i do not want to be here anymore i done ruined a good thing,Potential Suicide post
trying out spaz for twitter posts love my destroytwitter but it is easier to read spaz,Not Suicide post
we wouldn t want them to think we were doing anything immoral,Not Suicide post
a tweet tweet here and a tweet tweet there goodniiiight,Not Suicide post
just checked out that homerun derby ep it slaps,Potential Suicide post
everything,Not Suicide post
obey the last fm algorithm maybe it would turn out you really do like scooter if you gave him a chance,Not Suicide post
haha i wish i was i am tired of living here i wanna go down south,Potential Suicide post
so true nothing induces madness like trying to figure out why ppl do what they do hope today with yr little one is wonderful x,Not Suicide post
but ha internet explorer is being nice to me mozilla firefox is mean,Not Suicide post
tired of kickin you bitches out the house bout ready to go to sleep and wake up to the same ting forever,Potential Suicide post
rt i have said it before and i will say it again waluigi sucks he sounds and looks funny and thats it theres nothing else t,Potential Suicide post
rt a year after the devastating earthquake in this city this young mother says she and her family still do not have shelter,Potential Suicide post
heh heh dirty is always good gurl i like how you think,Not Suicide post
gettin off the internet gonna finish my hair,Not Suicide post
after failing once this is how i feel i wish that suicide was funded by the government i wish guns for suicide would be like condoms given to teens so if they are going to do it they do it right i wish euthansia was legal i wish that i wouldnt have to fear buying poison or a gun off the black market because if i get caught my life would get worse,Potential Suicide post
morning i have slacked for two days in twittering but here i am again just finished a good run ready to start a new day,Not Suicide post
i am looking for someone to talk to all i want to do is die,Potential Suicide post
i do not hate the player i hate the game jess glynne is probably an awesome person but i will kill myself or someon,Potential Suicide post
i am loving what i just read about love it,Not Suicide post
just watched chuck going out with mel soon,Not Suicide post
oh thank you i am just glad to not be shutting stuff across the street anymore it is a little slower w the unpacking tho,Not Suicide post
same to you sue,Not Suicide post
england yeah no i do not want to be here anymore it hurts too much and i am struggling too much,Potential Suicide post
i want to read p d james s the children of men though interesting premise yay for futuristics,Not Suicide post
i am worried i might lose it tomorrow i cant really tell anyone for fear of worrying them i will be one year and eleven months clean and sober tomorrow i am going to be off my methadone maintenance program in two weeks i am going to walk home from the court pack all my things and clean my apartment and say my goodbyes its just too much i am really hoping it does not come to that i hope so fucking much i do not want to kill myself i do not want to do that to anyone i am not strong enough to start over again my chest feels like its going to explode with anxiety i feel like i am going to break down crying in front of the judge tomorrow practically pleading for my life,Potential Suicide post
realizing that i will not get a surprise certified letter stating that i am the sole heir of a wealthy family s inh,Not Suicide post
what about blur song,Not Suicide post
morning,Not Suicide post
tired of waking up tired of wanting to die tired of everything,Potential Suicide post
me sees a car crash i wonder how they crashed,Potential Suicide post
i just want to sleep so much has gone wrong in these 20 years and its still getting worse i can not change most of what is going on around me but it will invariably affect me i do not want to give it the chance so if i go and sleep and do not wake up i wont have to deal with it,Potential Suicide post
i am always cheerful when it is sunny at atl means i will get the heck away on time,Not Suicide post
just booked and i in for 4d baby scan tomorrow very exciting cannot wait to see our little girl,Not Suicide post
liter spent so much money tonight and literally one of the worst nights in a looo g time literally about to straigh,Potential Suicide post
rt girl i wanna look this good when i am pregnant lol congratulations beautiful i hope it is a girl so she can be like u,Not Suicide post
i am a size 5 but i have to wear orthotics in my footwear if i am attempting to walk so i can get away with a 6,Not Suicide post
now my heart wants to die too i have been struggling with depression trauma and suicidal thoughts for years but honestly things havent been as painful as they are now i am here sitting alone and alienated confused depressed miserable helpless and alone and honestly at this point i just hate life,Potential Suicide post
wasn t the miami valley already frozen it is winter,Not Suicide post
i am actually tired of this it is like living in a home where the troubled deceitful child always wi,Potential Suicide post
rt i do not want them to come for my account literally the only thing keeping me through the miserable existence that is,Potential Suicide post
he is good he s down in florida for mts he graduates in late april he really happy about this,Not Suicide post
i have been at school since yesterday good morning demi lovato i am a fan from canada,Not Suicide post
we were approved for a cute townhome so much closer to work i am so excited,Not Suicide post
rt i m sick and tired of listening to saying first and foremost we re all here to work for c,Potential Suicide post
this is correct i for one absolutely do not want to live in a country with these fucking chuds and i believe 25,Potential Suicide post
i wish i still had my simpsons shower radio,Not Suicide post
i love everyone else while i hate myself,Potential Suicide post
tired of living like this,Potential Suicide post
dude i am so jealous goin to buy some on thurs,Not Suicide post
welcome tweet 3 lets get this,Not Suicide post
that is not how it works and if you truly believe this then i feel sorry for you we do,Potential Suicide post
happy birthday eat something good,Not Suicide post
it will only get worse come winter the chai at the goldfish bowl is the best out,Not Suicide post
rt i love to see palestinians dancing and having fun good andpositive stories deserve to go viral as well,Not Suicide post
,Potential Suicide post
ever feel like everyone s better off without you because me fucking too,Potential Suicide post
nope ahm preps for props,Not Suicide post
recorded what,Not Suicide post
what about twittering your task,Not Suicide post
in june 28 in portugal i do not know should i go or is just another catching song,Not Suicide post
i want to be a painter,Not Suicide post
my cowley road e p has been re released on itunes if you do not have it get it,Not Suicide post
how did i just give up on sleeping i am not even trying anymore i hate myself damn,Potential Suicide post
how s it cooking looking forward to having a taste later,Not Suicide post
200 words over with still more to write lame burritos for tea,Not Suicide post
phone againn,Not Suicide post
rt on this day november 12th 1976 queen release single somebody to love,Potential Suicide post
its fucking cold i hate working at 4 am tf did i sign up for why did i do this to myself damn it,Potential Suicide post
about time you should always listen to your wise friend kate she s the coolest,Not Suicide post
rt i do not want to die but you know nothing is for certain and i am tired of keeping quiet,Potential Suicide post
one month from today we ll be on that plane headin for ny,Not Suicide post
rt i just do not want to be here anymore,Potential Suicide post
the videos commentandsuscribe and follow me cheers x,Not Suicide post
iowa no 2 in happy yea,Not Suicide post
damn really hate myself rn,Potential Suicide post
oh sorry would have replied earlier but was flickin thru my wonderful new book of ideas,Not Suicide post
rt i wanna let it be known that if any of my homies ever in your life feel like y all alone or just tired of living i am a tex,Potential Suicide post
hey doing well looking forward to meeting up with you and in dc,Not Suicide post
i am done trying to be happy it never helped and it never got approved by my parents meaning i have to stop all of what makes me happy and honestly i do not want to try anymore i am just going to sit here and fail and keep failing until one day when death finally falls upon me,Potential Suicide post
tr i am are doing it with nambu bit ly are doing it with tweetdeck,Not Suicide post
being a single mommy was never part of the plan but i wake up everyday and do my shit,Potential Suicide post
has only been awake two hours but would like to go back to sleep,Not Suicide post
its amazing i saw it on broadway with the original cast,Not Suicide post
you been puffing on that dragon again ey,Not Suicide post
yes i am obviously the only one at the national aviary who answers the phone,Not Suicide post
rt glass half full glass half empty this team is legitimately pretty good if you go by sports reference s simple,Not Suicide post
time to turn off and go to sleep i think its been a big day goodnight all,Not Suicide post
well i must say your comments have even got me thinking his hair looks rather sexy so i doubt she has much chance to resist,Not Suicide post
rt bartomeu today he celebrates two further honours in a legendary career a 5th pichichi goalscorer award and the di st,Not Suicide post
nope you just caught me cheers i am sure i will hope the sunshine holds out for you,Not Suicide post
i went with csi as my episode 3 of dollhouse needed redownloading once that is done i can watch that then the rest,Not Suicide post
just had lovely cuddle with tali virgo,Not Suicide post
is home from the gym and is going to sit on her butt all day,Not Suicide post
going for a four mile night run around the old b 52 bomber on andersen gotta tape my ankles,Not Suicide post
everything is temporary evil eyes off shivrit,Not Suicide post
a little of what you fancy does you good i am told,Not Suicide post
after sickness back to work,Not Suicide post
i woke up feeling great,Not Suicide post
he is not tired of everything,Not Suicide post
hi,Not Suicide post
do not get upset by it not worth it besides if they do that with enough people their accounts will not be so popular,Not Suicide post
we just got a picture with my boyfriend thats what that is,Not Suicide post
ah it is not the same since the old days when he of the orange face was still around,Not Suicide post
lol supp it aint fucked,Not Suicide post
rt living in the hood can be really tough i am tired of losing people to the violence i will not give up,Potential Suicide post
i want to kill myself i really want to fucking kill myself i am done,Potential Suicide post
oh somebody kill me please,Potential Suicide post
yes indeed with copious amounts of whipped cream,Not Suicide post
i am empty i have been focusing on school and work but every day i feel worse and worse last night i got blackout drunk did not help made me feel even worse i know that my loneliness comes mostly from my conscious decisions cant live with people cant live without them the only reason i havent killed myself yet is that i fear the pain,Potential Suicide post
glad to hear you re making the switch you will not be disappointed,Not Suicide post
i wanna fucking kill myself,Potential Suicide post
please retweet my weed g board the coolest adult cartoon i am tired of living the worst times of my life plea,Potential Suicide post
off to the bakery to buy yummy stuff,Not Suicide post
is cleaning up will start anew,Not Suicide post
the rewards will be credited to your huobi account in 3 working days,Not Suicide post
proof,Not Suicide post
hen style may or may not involve making promises other people need to deliver no such concerns here,Not Suicide post
keep it up you do good work,Not Suicide post
niiiceee,Not Suicide post
today i almost kill myself because i almost hit by a car thank lord,Not Suicide post
sir please tell does it suit to respected pm to tell give me 50 days and if things do not improve burn me alive if yes then anyone can say that come we shall burn u if not i did not see anyone dis associating with this line,Potential Suicide post
extremely tired of everything i just want to die,Potential Suicide post
rt i am a fucking lunatic when i get angry it is so terrible i need to work on this so bad before i end up doing something that fu,Potential Suicide post
congratulations dave enjoy the little un xxx,Not Suicide post
good morning,Not Suicide post
yummy starbucks,Not Suicide post
death scares tf out of me and i am not ready to die,Potential Suicide post
i hate being by myself bc everything a damn music video,Potential Suicide post
i went to starbucks earlier,Not Suicide post
gene has been acting a bit odd lately when i told him about leper wanting to jump out of the tree to join the supe,Potential Suicide post
i was drinking and crying my night away as usual to find out my ex is fucking a girl in his bed so i tried to kill,Potential Suicide post
wow awesome pics,Not Suicide post
death cant be much worse i am 22 male my girlfriend left i have been staying late in the office for too long because i cant cope with the workload friends are non existent hate my family and they hate me i just want to die i do not see any other option at this point,Potential Suicide post
