Review,Suicide,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,text_stemming,Skor,Sentimen,Label
"Ada seekor kucing liar di kampus yang mirip Garfield.Para siswa selalu memberinya makan, jadi dia sangat gemuk.Seperti saya.",Not Suicide post,Ada seekor kucing liar di kampus yang mirip Garfield Para siswa selalu memberinya makan jadi dia sangat gemuk Seperti saya,ada seekor kucing liar di kampus yang mirip garfield para siswa selalu memberinya makan jadi dia sangat gemuk seperti saya,ada seekor kucing liar di kampus yang mirip garfield para siswa selalu memberinya makan jadi dia sangat gemuk seperti saya,"['ada', 'seekor', 'kucing', 'liar', 'di', 'kampus', 'yang', 'mirip', 'garfield', 'para', 'siswa', 'selalu', 'memberinya', 'makan', 'jadi', 'dia', 'sangat', 'gemuk', 'seperti', 'saya']","['seekor', 'kucing', 'liar', 'kampus', 'garfield', 'siswa', 'memberinya', 'makan', 'gemuk']",seekor kucing liar kampus garfield siswa memberinya makan gemuk,ekor kucing liar kampus garfield siswa beri makan gemuk,-6.0,negatif,0
sedang dalam perjalanan...,Not Suicide post,sedang dalam perjalanan,sedang dalam perjalanan,sedang dalam perjalanan,"['sedang', 'dalam', 'perjalanan']",['perjalanan'],perjalanan,jalan,0.0,negatif,0
Saya mempunyai kebiasaan buruk menghindari menulis makalah dengan menonton video langsung Instagram dari anak-anak yang dulu saya pengasuhi... https://t.co/NpfZu06gwy,Potential Suicide post ,Saya mempunyai kebiasaan buruk menghindari menulis makalah dengan menonton video langsung Instagram dari anak anak yang dulu saya pengasuhi,saya mempunyai kebiasaan buruk menghindari menulis makalah dengan menonton video langsung instagram dari anak anak yang dulu saya pengasuhi,saya mempunyai kebiasaan buruk menghindari menulis makalah dengan menonton video langsung instagram dari anak anak yang dulu saya pengasuhi,"['saya', 'mempunyai', 'kebiasaan', 'buruk', 'menghindari', 'menulis', 'makalah', 'dengan', 'menonton', 'video', 'langsung', 'instagram', 'dari', 'anak', 'anak', 'yang', 'dulu', 'saya', 'pengasuhi']","['kebiasaan', 'buruk', 'menghindari', 'menulis', 'makalah', 'menonton', 'video', 'langsung', 'instagram', 'anak', 'anak', 'pengasuhi']",kebiasaan buruk menghindari menulis makalah menonton video langsung instagram anak anak pengasuhi,biasa buruk hindar tulis makalah tonton video langsung instagram anak anak asuh,-18.0,negatif,0
"@rivensky Haha.Ya, saya punya lebih banyak tetapi saya tidak perlu melakukan apa pun selain menyimpan sisanya atau menghapusnya.",Not Suicide post,Haha Ya saya punya lebih banyak tetapi saya tidak perlu melakukan apa pun selain menyimpan sisanya atau menghapusnya,haha ya saya punya lebih banyak tetapi saya tidak perlu melakukan apa pun selain menyimpan sisanya atau menghapusnya,haha ya saya punya lebih banyak tetapi saya tidak perlu melakukan apa pun selain menyimpan sisanya atau menghapusnya,"['haha', 'ya', 'saya', 'punya', 'lebih', 'banyak', 'tetapi', 'saya', 'tidak', 'perlu', 'melakukan', 'apa', 'pun', 'selain', 'menyimpan', 'sisanya', 'atau', 'menghapusnya']","['haha', 'menyimpan', 'sisanya', 'menghapusnya']",haha menyimpan sisanya menghapusnya,haha simpan sisa hapus,-10.0,negatif,0
"@Turbizzle Astaga, apa kabarmu?",Not Suicide post,Astaga apa kabarmu,astaga apa kabarmu,astaga apa kabarmu,"['astaga', 'apa', 'kabarmu']","['astaga', 'kabarmu']",astaga kabarmu,astaga kabar,-7.0,negatif,0
"@AkwesiQuan,,RT @animeesay: Saya mau bilang sakit tidak akan pernah aktif lagi.Tidak begitu yakin, aku tidak punya alasan untuk berada di sini lagi, sampai jumpa semuanya tâ¦",Potential Suicide post ,Saya mau bilang sakit tidak akan pernah aktif lagi Tidak begitu yakin aku tidak punya alasan untuk berada di sini lagi sampai jumpa semuanya tâ¦,saya mau bilang sakit tidak akan pernah aktif lagi tidak begitu yakin aku tidak punya alasan untuk berada di sini lagi sampai jumpa semuanya tâ¦,saya mau bilang sakit tidak akan pernah aktif lagi tidak begitu yakin aku tidak punya alasan untuk berada di sini lagi sampai jumpa semuanya tâ¦,"['saya', 'mau', 'bilang', 'sakit', 'tidak', 'akan', 'pernah', 'aktif', 'lagi', 'tidak', 'begitu', 'yakin', 'aku', 'tidak', 'punya', 'alasan', 'untuk', 'berada', 'di', 'sini', 'lagi', 'sampai', 'jumpa', 'semuanya', 'tâ¦']","['bilang', 'sakit', 'aktif', 'alasan', 'jumpa', 'tâ¦']",bilang sakit aktif alasan jumpa tâ¦,bilang sakit aktif alas jumpa t,-8.0,negatif,0
Fokus pada peluang lebih dari pada fokus pada uang.,Not Suicide post,Fokus pada peluang lebih dari pada fokus pada uang,fokus pada peluang lebih dari pada fokus pada uang,fokus pada peluang lebih dari pada fokus pada uang,"['fokus', 'pada', 'peluang', 'lebih', 'dari', 'pada', 'fokus', 'pada', 'uang']","['fokus', 'peluang', 'fokus', 'uang']",fokus peluang fokus uang,fokus peluang fokus uang,-4.0,negatif,0
SESEORANG TOLONG BUNUH AKU SANGAT CINTA https://t.co/WbVmmKzDDh,Potential Suicide post ,SESEORANG TOLONG BUNUH AKU SANGAT CINTA,seseorang tolong bunuh aku sangat cinta,seseorang tolong bunuh aku sangat cinta,"['seseorang', 'tolong', 'bunuh', 'aku', 'sangat', 'cinta']","['tolong', 'bunuh', 'cinta']",tolong bunuh cinta,tolong bunuh cinta,-8.0,negatif,0
Aku berada di titik semester di mana aku sangat lelah dengan segalanya.Aku hanya ingin berguling dan mati.,Potential Suicide post ,Aku berada di titik semester di mana aku sangat lelah dengan segalanya Aku hanya ingin berguling dan mati,aku berada di titik semester di mana aku sangat lelah dengan segalanya aku hanya ingin berguling dan mati,aku berada di titik semester di mana aku sangat lelah dengan segalanya aku hanya ingin berguling dan mati,"['aku', 'berada', 'di', 'titik', 'semester', 'di', 'mana', 'aku', 'sangat', 'lelah', 'dengan', 'segalanya', 'aku', 'hanya', 'ingin', 'berguling', 'dan', 'mati']","['titik', 'semester', 'lelah', 'berguling', 'mati']",titik semester lelah berguling mati,titik semester lelah guling mati,-14.0,negatif,0
"@sadegsi,ger/rus/eng, aku sangat ingin mati, aku tidak ingin berada di sini lagi",Potential Suicide post ,ger rus eng aku sangat ingin mati aku tidak ingin berada di sini lagi,ger rus eng aku sangat ingin mati aku tidak ingin berada di sini lagi,ger rus eng aku sangat ingin mati aku tidak ingin berada di sini lagi,"['ger', 'rus', 'eng', 'aku', 'sangat', 'ingin', 'mati', 'aku', 'tidak', 'ingin', 'berada', 'di', 'sini', 'lagi']","['ger', 'rus', 'eng', 'mati']",ger rus eng mati,ger rus eng mati,-5.0,negatif,0
"Dan aku benci kalau benar Dojae akan melakukan operasi, Dojae harus menanggung sakitnya sendirian :'( tanpa Segye ðððð aâ¦ https://t.co/B4hM6MjQRe",Potential Suicide post ,Dan aku benci kalau benar Dojae akan melakukan operasi Dojae harus menanggung sakitnya sendirian tanpa Segye ðððð aâ¦,dan aku benci kalau benar dojae akan melakukan operasi dojae harus menanggung sakitnya sendirian tanpa segye ðððð aâ¦,dan aku benci kalau benar dojae akan melakukan operasi dojae harus menanggung sakitnya sendirian tanpa segye ðððð aâ¦,"['dan', 'aku', 'benci', 'kalau', 'benar', 'dojae', 'akan', 'melakukan', 'operasi', 'dojae', 'harus', 'menanggung', 'sakitnya', 'sendirian', 'tanpa', 'segye', 'ðððð', 'aâ¦']","['benci', 'dojae', 'operasi', 'dojae', 'menanggung', 'sakitnya', 'segye', 'ðððð', 'aâ¦']",benci dojae operasi dojae menanggung sakitnya segye ðððð aâ¦,benci dojae operasi dojae tanggung sakit segye  a,-11.0,negatif,0
"RT @Soulwhisperer3: Saat kamu lelah menjalani hidup, yang bisa kamu lakukan hanyalah menutup mata dan tidur...",Potential Suicide post ,Saat kamu lelah menjalani hidup yang bisa kamu lakukan hanyalah menutup mata dan tidur,saat kamu lelah menjalani hidup yang bisa kamu lakukan hanyalah menutup mata dan tidur,saat kamu lelah menjalani hidup yang bisa kamu lakukan hanyalah menutup mata dan tidur,"['saat', 'kamu', 'lelah', 'menjalani', 'hidup', 'yang', 'bisa', 'kamu', 'lakukan', 'hanyalah', 'menutup', 'mata', 'dan', 'tidur']","['lelah', 'menjalani', 'hidup', 'lakukan', 'menutup', 'mata', 'tidur']",lelah menjalani hidup lakukan menutup mata tidur,lelah jalan hidup laku tutup mata tidur,-14.0,negatif,0
aku akan bunuh diri sekarang aku minta maaf kamu merasa begitu putus asa,Potential Suicide post ,aku akan bunuh diri sekarang aku minta maaf kamu merasa begitu putus asa,aku akan bunuh diri sekarang aku minta maaf kamu merasa begitu putus asa,aku akan bunuh diri sekarang aku meminta maaf kamu merasa begitu putus asa,"['aku', 'akan', 'bunuh', 'diri', 'sekarang', 'aku', 'meminta', 'maaf', 'kamu', 'merasa', 'begitu', 'putus', 'asa']","['bunuh', 'maaf', 'putus', 'asa']",bunuh maaf putus asa,bunuh maaf putus asa,-15.0,negatif,0
"@deteksi dini selamat menikmati. Saya tidak bisa membahasnya musim ini, tetapi senang mengetahui bahwa Anda mulai bersemangat.",Not Suicide post,dini selamat menikmati Saya tidak bisa membahasnya musim ini tetapi senang mengetahui bahwa Anda mulai bersemangat,dini selamat menikmati saya tidak bisa membahasnya musim ini tetapi senang mengetahui bahwa anda mulai bersemangat,dini selamat menikmati saya tidak bisa membahasnya musim ini tetapi senang mengetahui bahwa anda mulai bersemangat,"['dini', 'selamat', 'menikmati', 'saya', 'tidak', 'bisa', 'membahasnya', 'musim', 'ini', 'tetapi', 'senang', 'mengetahui', 'bahwa', 'anda', 'mulai', 'bersemangat']","['selamat', 'menikmati', 'membahasnya', 'musim', 'senang', 'bersemangat']",selamat menikmati membahasnya musim senang bersemangat,selamat nikmat bahas musim senang semangat,5.0,positif,1
@JohnsHopkins Noda darah di karpet?Siap berangkat!http://short.to/3uqb,Not Suicide post,Noda darah di karpet Siap berangkat,noda darah di karpet siap berangkat,noda darah di karpet siap berangkat,"['noda', 'darah', 'di', 'karpet', 'siap', 'berangkat']","['noda', 'darah', 'karpet', 'berangkat']",noda darah karpet berangkat,noda darah karpet berangkat,-9.0,negatif,0
Benar-benar ingin bagian hidupku ini berakhir.,Potential Suicide post ,Benar benar ingin bagian hidupku ini berakhir,benar benar ingin bagian hidupku ini berakhir,benar benar ingin bagian hidupku ini berakhir,"['benar', 'benar', 'ingin', 'bagian', 'hidupku', 'ini', 'berakhir']",['hidupku'],hidupku,hidup,-4.0,negatif,0
Saya SANGAT SANGAT lapar!Jangan ada orang di timelineku yang berani membicarakan makanan :@ Atau aku akan memakanmu dengan serius!,Not Suicide post,Saya SANGAT SANGAT lapar Jangan ada orang di timelineku yang berani membicarakan makanan Atau aku akan memakanmu dengan serius,saya sangat sangat lapar jangan ada orang di timelineku yang berani membicarakan makanan atau aku akan memakanmu dengan serius,saya sangat sangat lapar jangan ada orang di timelineku yang berani membicarakan makanan atau aku akan memakanmu dengan serius,"['saya', 'sangat', 'sangat', 'lapar', 'jangan', 'ada', 'orang', 'di', 'timelineku', 'yang', 'berani', 'membicarakan', 'makanan', 'atau', 'aku', 'akan', 'memakanmu', 'dengan', 'serius']","['lapar', 'orang', 'timelineku', 'berani', 'membicarakan', 'makanan', 'memakanmu', 'serius']",lapar orang timelineku berani membicarakan makanan memakanmu serius,lapar orang timelineku berani bicara makan makan serius,-12.0,negatif,0
Ibu selalu ingin semua orang pulang sebelum gelap – seolah-olah ada sesuatu di luar sana pada malam hari yang tidak ada di siang hari.,Not Suicide post,Ibu selalu ingin semua orang pulang sebelum gelap – seolah olah ada sesuatu di luar sana pada malam hari yang tidak ada di siang hari,ibu selalu ingin semua orang pulang sebelum gelap – seolah olah ada sesuatu di luar sana pada malam hari yang tidak ada di siang hari,ibu selalu ingin semua orang pulang sebelum gelap – seolah olah ada sesuatu di luar sana pada malam hari yang tidak ada di siang hari,"['ibu', 'selalu', 'ingin', 'semua', 'orang', 'pulang', 'sebelum', 'gelap', '–', 'seolah', 'olah', 'ada', 'sesuatu', 'di', 'luar', 'sana', 'pada', 'malam', 'hari', 'yang', 'tidak', 'ada', 'di', 'siang', 'hari']","['orang', 'pulang', 'gelap', '–', 'olah', 'malam', 'siang']",orang pulang gelap – olah malam siang,orang pulang gelap  olah malam siang,-5.0,negatif,0
@gailia Saya pikir Anda akan melakukan apa pun yang Anda inginkan.,Not Suicide post,Saya pikir Anda akan melakukan apa pun yang Anda inginkan,saya pikir anda akan melakukan apa pun yang anda inginkan,saya pikir anda akan melakukan apa pun yang anda inginkan,"['saya', 'pikir', 'anda', 'akan', 'melakukan', 'apa', 'pun', 'yang', 'anda', 'inginkan']",['pikir'],pikir,pikir,-2.0,negatif,0
"@domselinakyle kedengarannya sangat buruk, begitulah keadaanku ketika ayahku masih tinggal bersamaku, tetapi kuharap keadaan menjadi lebih baik… https://t.co/oAh2tUnbXt",Potential Suicide post ,kedengarannya sangat buruk begitulah keadaanku ketika ayahku masih tinggal bersamaku tetapi kuharap keadaan menjadi lebih baik…,kedengarannya sangat buruk begitulah keadaanku ketika ayahku masih tinggal bersamaku tetapi kuharap keadaan menjadi lebih baik…,kedengarannya sangat buruk begitulah keadaanku ketika ayahku masih tinggal bersamaku tetapi kuharap keadaan menjadi lebih baik…,"['kedengarannya', 'sangat', 'buruk', 'begitulah', 'keadaanku', 'ketika', 'ayahku', 'masih', 'tinggal', 'bersamaku', 'tetapi', 'kuharap', 'keadaan', 'menjadi', 'lebih', 'baik…']","['kedengarannya', 'buruk', 'keadaanku', 'ayahku', 'tinggal', 'bersamaku', 'kuharap', 'baik…']",kedengarannya buruk keadaanku ayahku tinggal bersamaku kuharap baik…,dengar buruk ada ayah tinggal sama harap baik,-6.0,negatif,0
"@ garry1bowie Tidak, hanya satu sesaat sebelum penjurian penghargaan sabun dimulai....",Not Suicide post,garrybowie Tidak hanya satu sesaat sebelum penjurian penghargaan sabun dimulai,garrybowie tidak hanya satu sesaat sebelum penjurian penghargaan sabun dimulai,garrybowie tidak hanya satu sesaat sebelum penjurian penghargaan sabun dimulai,"['garrybowie', 'tidak', 'hanya', 'satu', 'sesaat', 'sebelum', 'penjurian', 'penghargaan', 'sabun', 'dimulai']","['garrybowie', 'penjurian', 'penghargaan', 'sabun']",garrybowie penjurian penghargaan sabun,garrybowie juri harga sabun,3.0,positif,1
"@swingie Baru saja berbincang dengan @tonimassaar tentang betapa 'ketergantungan' kita terhadap internet dan ponsel saat ini,",Not Suicide post,Baru saja berbincang dengan tentang betapa ketergantungan kita terhadap internet dan ponsel saat ini,baru saja berbincang dengan tentang betapa ketergantungan kita terhadap internet dan ponsel saat ini,baru saja berbincang dengan tentang betapa ketergantungan kita terhadap internet dan ponsel saat ini,"['baru', 'saja', 'berbincang', 'dengan', 'tentang', 'betapa', 'ketergantungan', 'kita', 'terhadap', 'internet', 'dan', 'ponsel', 'saat', 'ini']","['berbincang', 'betapa', 'ketergantungan', 'internet', 'ponsel']",berbincang betapa ketergantungan internet ponsel,bincang betapa gantung internet ponsel,3.0,positif,1
"@jrkgirlnla Oh ya, saya sedang membaca yang itu",Not Suicide post,Oh ya saya sedang membaca yang itu,oh ya saya sedang membaca yang itu,oh ya saya sedang membaca yang itu,"['oh', 'ya', 'saya', 'sedang', 'membaca', 'yang', 'itu']","['oh', 'membaca']",oh membaca,oh baca,-1.0,negatif,0
Hidupku sangat menyedihkan dan tidak menjadi lebih baik.,Potential Suicide post ,Hidupku sangat menyedihkan dan tidak menjadi lebih baik,hidupku sangat menyedihkan dan tidak menjadi lebih baik,hidupku sangat menyedihkan dan tidak menjadi lebih baik,"['hidupku', 'sangat', 'menyedihkan', 'dan', 'tidak', 'menjadi', 'lebih', 'baik']","['hidupku', 'menyedihkan']",hidupku menyedihkan,hidup sedih,-9.0,negatif,0
"@LaPrincipessa Anda KATAKAN!saya berdiri jam 8. lalu berangkat ke offenbach, pulang.di luar.cahaya matahari.aku mencintaimu.",Not Suicide post,Anda KATAKAN saya berdiri jam lalu berangkat ke offenbach pulang di luar cahaya matahari aku mencintaimu,anda katakan saya berdiri jam lalu berangkat ke offenbach pulang di luar cahaya matahari aku mencintaimu,anda katakan saya berdiri jam lalu berangkat ke offenbach pulang di luar cahaya matahari aku mencintaimu,"['anda', 'katakan', 'saya', 'berdiri', 'jam', 'lalu', 'berangkat', 'ke', 'offenbach', 'pulang', 'di', 'luar', 'cahaya', 'matahari', 'aku', 'mencintaimu']","['berdiri', 'jam', 'berangkat', 'offenbach', 'pulang', 'cahaya', 'matahari', 'mencintaimu']",berdiri jam berangkat offenbach pulang cahaya matahari mencintaimu,diri jam berangkat offenbach pulang cahaya matahari cinta,-4.0,negatif,0
Dia tidak lelah.,Not Suicide post,Dia tidak lelah,dia tidak lelah,dia tidak lelah,"['dia', 'tidak', 'lelah']",['lelah'],lelah,lelah,-3.0,negatif,0
"RT @tamicakeyona: Menjadi ibu tunggal bukanlah bagian dari rencanaku, tapi aku bangun setiap hari dan melakukan pekerjaankuðªð¾",Potential Suicide post ,Menjadi ibu tunggal bukanlah bagian dari rencanaku tapi aku bangun setiap hari dan melakukan pekerjaankuðªð¾,menjadi ibu tunggal bukanlah bagian dari rencanaku tapi aku bangun setiap hari dan melakukan pekerjaankuðªð¾,menjadi ibu tunggal bukanlah bagian dari rencanaku tapi aku bangun setiap hari dan melakukan pekerjaankuðªð¾,"['menjadi', 'ibu', 'tunggal', 'bukanlah', 'bagian', 'dari', 'rencanaku', 'tapi', 'aku', 'bangun', 'setiap', 'hari', 'dan', 'melakukan', 'pekerjaankuðªð¾']","['tunggal', 'rencanaku', 'bangun', 'pekerjaankuðªð¾']",tunggal rencanaku bangun pekerjaankuðªð¾,tunggal rencana bangun kerja,-2.0,negatif,0
"Namun yang dilakukan Bezos, de Blasio, dan Cuomo adalah berjalan ke kota lego kecil kami, menendang semua menara lego kami… https://t.co/WQqDasF7n4",Potential Suicide post ,Namun yang dilakukan Bezos de Blasio dan Cuomo adalah berjalan ke kota lego kecil kami menendang semua menara lego kami…,namun yang dilakukan bezos de blasio dan cuomo adalah berjalan ke kota lego kecil kami menendang semua menara lego kami…,namun yang dilakukan bezos deh blasio dan cuomo adalah berjalan ke kota lego kecil kami menendang semua menara lego kami…,"['namun', 'yang', 'dilakukan', 'bezos', 'deh', 'blasio', 'dan', 'cuomo', 'adalah', 'berjalan', 'ke', 'kota', 'lego', 'kecil', 'kami', 'menendang', 'semua', 'menara', 'lego', 'kami…']","['bezos', 'deh', 'blasio', 'cuomo', 'berjalan', 'kota', 'lego', 'menendang', 'menara', 'lego', 'kami…']",bezos deh blasio cuomo berjalan kota lego menendang menara lego kami…,bezos deh blasio cuomo jalan kota lego tendang menara lego kami,-4.0,negatif,0
Saya ingin uang,Not Suicide post,Saya ingin uang,saya ingin uang,saya ingin uang,"['saya', 'ingin', 'uang']",['uang'],uang,uang,0.0,negatif,0
"@HeavenlyHev bagaimana, jadi saya tahu apa yang diharapkan?",Not Suicide post,bagaimana jadi saya tahu apa yang diharapkan,bagaimana jadi saya tahu apa yang diharapkan,bagaimana jadi saya tahu apa yang diharapkan,"['bagaimana', 'jadi', 'saya', 'tahu', 'apa', 'yang', 'diharapkan']",['diharapkan'],diharapkan,harap,-3.0,negatif,0
"Mmm, kemampuan kuliner mumi semakin meningkat.Baunya enak sekali!saya suka makanan rumahan!",Not Suicide post,Mmm kemampuan kuliner mumi semakin meningkat Baunya enak sekali saya suka makanan rumahan,mmm kemampuan kuliner mumi semakin meningkat baunya enak sekali saya suka makanan rumahan,mmm kemampuan kuliner mumi semakin meningkat baunya enak sekali saya suka makanan rumahan,"['mmm', 'kemampuan', 'kuliner', 'mumi', 'semakin', 'meningkat', 'baunya', 'enak', 'sekali', 'saya', 'suka', 'makanan', 'rumahan']","['mmm', 'kemampuan', 'kuliner', 'mumi', 'meningkat', 'baunya', 'enak', 'suka', 'makanan', 'rumahan']",mmm kemampuan kuliner mumi meningkat baunya enak suka makanan rumahan,mmm mampu kuliner mumi tingkat bau enak suka makan rumah,-5.0,negatif,0
